Diese Datei gibt Ihnen einen kurzen Ueberblick, welche Variablen im
portable file des ALLBUS 2014 enthalten sind:

Variable       Position Beschriftung
V422           420      MEHR ALS 8 HAUSHALTSPERSONEN?
V423           421      ANZAHL WEITERER HAUSHALTSPERSONEN
V424           422      ANZAHL DER HAUSHALTSPERSONEN
V425           423      REDUZIERTE HAUSHALTSGROESSE
V426           424      2.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V427           425      2.HAUSH.PERSON: GESCHLECHT
V428           426      2.HAUSH.PERSON: GEBURTSMONAT
V429           427      2.HAUSH.PERSON: GEBURTSJAHR
V430           428      2.HAUSH.PERSON: ALTER
V431           429      2.HAUSH.PERSON: ALTER, KAT.
V432           430      2.HAUSH.PERSON: FAMILIENSTAND
V433           431      2.HAUSH.PERSON:<KIND>ALLG.SCHULABSCHLUSS
V434           432      2.HAUSH.PERSON:<KIND> HOCHSCHULABSCHLUSS
V435           433      3.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V436           434      3.HAUSH.PERSON: GESCHLECHT
V437           435      3.HAUSH.PERSON: GEBURTSMONAT
V438           436      3.HAUSH.PERSON: GEBURTSJAHR
V439           437      3.HAUSH.PERSON: ALTER
V440           438      3.HAUSH.PERSON: ALTER, KAT.
V441           439      3.HAUSH.PERSON: FAMILIENSTAND
V442           440      3.HAUSH.PERSON:<KIND>ALLG.SCHULABSCHLUSS
V443           441      3.HAUSH.PERSON:<KIND> HOCHSCHULABSCHLUSS
V444           442      4.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V445           443      4.HAUSH.PERSON: GESCHLECHT
V446           444      4.HAUSH.PERSON: GEBURTSMONAT
V447           445      4.HAUSH.PERSON: GEBURTSJAHR
V448           446      4.HAUSH.PERSON: ALTER
V449           447      4.HAUSH.PERSON: ALTER, KAT.
V450           448      4.HAUSH.PERSON: FAMILIENSTAND
V451           449      4.HAUSH.PERSON:<KIND>ALLG.SCHULABSCHLUSS
V452           450      4.HAUSH.PERSON:<KIND> HOCHSCHULABSCHLUSS
V453           451      5.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V454           452      5.HAUSH.PERSON: GESCHLECHT
V455           453      5.HAUSH.PERSON: GEBURTSMONAT
V456           454      5.HAUSH.PERSON: GEBURTSJAHR
V457           455      5.HAUSH.PERSON: ALTER
V458           456      5.HAUSH.PERSON: ALTER, KAT.
V459           457      5.HAUSH.PERSON: FAMILIENSTAND
V460           458      5.HAUSH.PERSON:<KIND>ALLG.SCHULABSCHLUSS
V461           459      5.HAUSH.PERSON:<KIND> HOCHSCHULABSCHLUSS
V462           460      6.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V463           461      6.HAUSH.PERSON: GESCHLECHT
V464           462      6.HAUSH.PERSON: GEBURTSMONAT
V465           463      6.HAUSH.PERSON: GEBURTSJAHR
V466           464      6.HAUSH.PERSON: ALTER
V467           465      6.HAUSH.PERSON: ALTER, KAT.
V468           466      6.HAUSH.PERSON: FAMILIENSTAND
V469           467      6.HAUSH.PERSON:<KIND>ALLG.SCHULABSCHLUSS
V470           468      6.HAUSH.PERSON:<KIND> HOCHSCHULABSCHLUSS
V471           469      7.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V472           470      7.HAUSH.PERSON: GESCHLECHT
V473           471      7.HAUSH.PERSON: GEBURTSMONAT
V474           472      7.HAUSH.PERSON: GEBURTSJAHR
V475           473      7.HAUSH.PERSON: ALTER
V476           474      7.HAUSH.PERSON: ALTER, KAT.
V477           475      7.HAUSH.PERSON: FAMILIENSTAND
V478           476      7.HAUSH.PERSON:<KIND>ALLG.SCHULABSCHLUSS
V479           477      7.HAUSH.PERSON:<KIND> HOCHSCHULABSCHLUSS
V480           478      8.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
V481           479      8.HAUSH.PERSON: GESCHLECHT
V482           480      8.HAUSH.PERSON: GEBURTSMONAT
V483           481      8.HAUSH.PERSON: GEBURTSJAHR
V484           482      8.HAUSH.PERSON: ALTER
V485           483      8.HAUSH.PERSON: ALTER, KAT.
V486           484      8.HAUSH.PERSON: FAMILIENSTAND
V487           485      8.HAUSH.PERSON:<KIND>ALLG.SCHULABSCHLUSS
V488           486      8.HAUSH.PERSON:<KIND> HOCHSCHULABSCHLUSS
V489           487      MEHRPERS.HAUSH.:EINKOMMEN <OFFENE ABFR.>
V490           488      MEHRPERS.HAUSH.: EINKOMMEN <LISTENABFR.>
V491           489      HAUSHALTSNETTOEINKOMMEN: OFFENE ABFRAGE
V492           490      HAUSHALTSNETTOEINKOMMEN: LISTENABFRAGE
V493           491      HAUSHALTSEINKOMMEN <OFFENE+LISTENANGABE>
V494           492      HAUSHALTSEINK.<OFFENE+LISTENANGABE>,KAT.
V495           493      PRO-KOPF-EINKOMMEN
V496           494      PRO-KOPF-EINKOMMEN, KATEGORISIERT
V497           495      AEQUIVALENZEINKOMMEN OECD - NEU
V498           496      AEQUIVALENZEINKOMMEN OECD - NEU, KAT.
V499           497      MEINUNG ZU GESAMTEINKOMMEN DES HAUSHALTS
V500           498      LOHN, GEHALT IM HAUSHALT?
V501           499      SELBSTAENDIGENEINKOMMEN IM HAUSHALT?
V502           500      ZINS-, VERMOEGENSEINKUENFTE IM HAUSHALT?
V503           501      WERTPAPIEREINKUENFTE IM HAUSHALT?
V504           502      MIET-, UND PACHTEINKUENFTE IM HAUSHALT?
V505           503      ANDERE VERMOEGENSEINKUENFTE IM HAUSHALT?
V506           504      RENTENBEZUG IM HAUSHALT?
V507           505      PENSIONSBEZUG IM HAUSHALT?
V508           506      PRIVATE UNTERHALTSZAHLUNGEN IM HAUSHALT?
V509           507      KINDERGELDBEZUG IM HAUSHALT?
V510           508      ARBEITSLOSENGELD I  IM HAUSHALT?
V511           509      ARBEITSLOSENGELD II IM HAUSHALT?
V512           510      SOZIALHILFE IM HAUSHALT?
V513           511      KRANKEN-, MUTTERSCHAFTSGELD IM HAUSHALT?
V514           512      ELTERNGELD, BETREUUNGSGELD IM HAUSHALT?
V515           513      BAFOEG IM HAUSHALT?
V516           514      AND.AUSBILDUNGS-, UMSCHULUNGSGELD.IM HH?
V517           515      WOHNGELDBEZUG IM HAUSHALT
V518           516      SONSTIGE SOZIALLEISTUNGEN IM HAUSHALT?
V519           517      SONSTIGE EINKUENFTE IM HAUSHALT?
V520           518      HAUPTEINKOMMENSQUELLE IM HAUSHALT
V521           519      FAMILIENBESITZ: IMMOBILIEN?
V522           520      FAMILIENBESITZ: GESAMTWERT IMMOBILIEN
V523           521      FAMILIENBESITZ:GESAMTWERT ANLAGEPRODUKTE
V524           522      ZAHL DER BUECHER IM EIGENEN HAUSHALT
V525           523      ZAHL DER BUECHER IM ELTERNHAUS
V526           524      ELTERN: WIE OFT OPER, KONZERTE, THEATER?
V527           525      KINDER AUSSER HAUS?
V528           526      ANZAHL KINDER AUSSER HAUS
V529           527      GESCHLECHT, 1.KIND, AUSSER HAUS
V530           528      GEBURTSJAHR, 1.KIND, AUSSER HAUS
V531           529      ALTER, 1.KIND, AUSSER HAUS
V532           530      ALTER, 1.KIND, AUSSER HAUS, KATEG.
V533           531      1.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
V534           532      1.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
V535           533      GESCHLECHT, 2.KIND, AUSSER HAUS
V536           534      GEBURTSJAHR, 2.KIND, AUSSER HAUS
V537           535      ALTER, 2.KIND, AUSSER HAUS
V538           536      ALTER, 2.KIND, AUSSER HAUS, KATEG.
V539           537      2.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
V540           538      2.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
V541           539      GESCHLECHT, 3.KIND, AUSSER HAUS
V542           540      GEBURTSJAHR, 3.KIND, AUSSER HAUS
V543           541      ALTER, 3.KIND, AUSSER HAUS
V544           542      ALTER, 3.KIND, AUSSER HAUS, KATEG.
V545           543      3.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
V546           544      3.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
V547           545      GESCHLECHT, 4.KIND, AUSSER HAUS
V548           546      GEBURTSJAHR, 4.KIND, AUSSER HAUS
V549           547      ALTER, 4.KIND, AUSSER HAUS
V550           548      ALTER, 4.KIND, AUSSER HAUS, KATEG.
V551           549      4.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
V552           550      4.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
V553           551      GESCHLECHT, 5.KIND, AUSSER HAUS
V554           552      GEBURTSJAHR, 5.KIND, AUSSER HAUS
V555           553      ALTER, 5.KIND, AUSSER HAUS
V556           554      ALTER, 5.KIND, AUSSER HAUS, KATEG.
V557           555      5.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
V558           556      5.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
V559           557      GESCHLECHT, 6.KIND, AUSSER HAUS
V560           558      GEBURTSJAHR, 6.KIND, AUSSER HAUS
V561           559      ALTER, 6.KIND, AUSSER HAUS
V562           560      ALTER, 6.KIND, AUSSER HAUS, KATEG.
V563           561      6.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
V564           562      6.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
V565           563      GESCHLECHT, 7.KIND, AUSSER HAUS
V566           564      GEBURTSJAHR, 7.KIND, AUSSER HAUS
V567           565      ALTER, 7.KIND, AUSSER HAUS
V568           566      ALTER, 7.KIND, AUSSER HAUS, KATEG.
V569           567      7.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
V570           568      7.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
V571           569      GESCHLECHT, 8.KIND, AUSSER HAUS
V572           570      GEBURTSJAHR, 8.KIND, AUSSER HAUS
V573           571      ALTER, 8.KIND, AUSSER HAUS
V574           572      ALTER, 8.KIND, AUSSER HAUS, KATEG.
V575           573      8.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS
V576           574      8.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS
V589           575      MIT KIND: WUNSCH NACH WEITEREN KINDERN?
V590           576      MIT KIND: WIEVIELE KINDER GEWUENSCHT?
V591           577      KINDERLOS: WUNSCH NACH KINDERN?
V592           578      KINDERLOS: WIEVIELE KINDER GEWUENSCHT?
V593           579      BEFR.: TYP DER WOHNUNG
V594           580      WOHNFLAECHE IN QUADRATMETERN
V595           581      WOHNFLAECHE IN QUADRATMETERN, KATEG.
V596           582      HUND ODER KATZE IM HAUSHALT?
V597           583      WOHNUMGEBUNG: LAERMBELASTUNG TAGSUEBER
V598           584      WOHNUMGEBUNG: LAERMBELASTUNG NACHTS
V599           585      WOHNUMG.: INDUSTRIE-, AUTOABGASBELASTUNG
V600           586      SELBSTBESCHREIBUNG DES WOHNORTS
V601           587      KONFESSION, BEFRAGTE<R>
V602           588      CHRISTLICH-ORTHODOXE KONFESSION?
V603           589      WELCHE NICHTCHRISTLICHE RELIGION?
V604           590      KIRCHGANGSHAEUFIGKEIT
V605           591      WIE OFT BESUCH GOTTESHAUS?
V606           592      MITGLIED IN EINER GEWERKSCHAFT?
V607           593      FRUEHER GEWERKSCHAFTSMITGLIED?
V608           594      MITGLIED: POLITISCHE PARTEI
V609           595      WAHLABSICHT, BUNDESTAGSWAHL; BEFR.
V610           596      ALLGEMEINE LEBENSZUFRIEDENHEIT
V611           597      DATUM DES INTERVIEWS: TAG
V612           598      DATUM DES INTERVIEWS: MONAT
V613           599      DATUM DES INTERVIEWS
V614           600      DATUM DES INTERVIEWS, KATEG.
V615           601      INTERVIEWBEGINN: UHRZEIT
V616           602      INTERVIEWBEGINN: STUNDE
V617           603      INTERVIEWBEGINN: MINUTEN
V618           604      INTERVIEWENDE: UHRZEIT
V619           605      INTERVIEWENDE: STUNDE
V620           606      INTERVIEWENDE: MINUTEN
V621           607      DAUER DES INTERVIEWS IN MINUTEN
V622           608      DAUER DES INTERVIEWS IN MINUTEN, KAT.
V623           609      <VIRTUELLE> POINT NUMMER
V624           610      INTERVIEW M. BEFR. ALLEIN DURCHGEFUEHRT?
V625           611      EHEP.O. PARTNER BEIM INTERVIEW ANWESEND?
V626           612      KINDER BEIM INTERVIEW ANWESEND?
V627           613      ANDERE FAMILIENANGEHOERIGE ANWESEND?
V628           614      SONSTIGE PERSONEN BEIM INTERV. ANWESEND?
V629           615      EINGRIFF DRITTER PERSONEN I.D. INTERV.?
V630           616      ANTWORTBEREITSCHAFT DES BEFRAGTEN
V631           617      ZUVERLAESSIGKEIT DER ANGABEN DES BEFR.
V632           618      BEFR.: HAT AM BILDSCHIRM MITVERFOLGT
V633           619      NUTZEN SIE PRIVAT DAS INTERNET?
V634           620      LETZTE 12 MONATE: ANDERE UMFRAGEN?
V635           621      LETZTE 12 MONATE: ANZAHL UMFRAGEN
V636           622      LETZTE 12 MONATE: ANZAHL UMFRAGEN, KAT.
V637           623      TEILNAHMEBEREIT. SCHRIFTL.-ONLINE UMFR.
V638           624      BEREITSCHAFT Z. ANGABE D. EMAIL-ADRESSE?
V639           625      ISSP-TEILNAHME: NATIONALE IDENTITAET
V640           626      VERBUNDENHEIT MIT: WOHNORT <ISSP>
V641           627      VERBUNDENHEIT MIT: BUNDESLAND <ISSP>
V642           628      VERBUNDENHEIT MIT: DEUTSCHLAND <ISSP>
V643           629      VERBUNDENHEIT MIT: EUROPA <ISSP>
V644           630      DEUTSCH: IN DEUTSCHLAND GEBOREN
V645           631      DEUTSCH: DEUTSCHE STAATSANGEHOERIGKEIT
V646           632      DEUTSCH: MEISTE ZEIT IN BRD GELEBT
V647           633      DEUTSCH: DEUTSCH SPRECHEN KOENNEN
V648           634      DEUTSCH: EIN CHRIST ZU SEIN
V649           635      DEUTSCH: INSTITUTIONEN, GESETZE ACHTEN
V650           636      DEUTSCH: SICH ALS DEUTSCHE<R> FUEHLEN
V651           637      DEUTSCH: DEUTSCHE VORFAHREN HABEN
V652           638      LIEBER DEUTSCH ALS ANDERE STAATSANGEH.
V653           639      SCHAEME MICH FUER MANCHE DINGE IN BRD
V654           640      WELT BESSER, WENN ANDERE WIE DEUTSCHE
V655           641      DEUTSCHLAND BESSER ALS ANDERE LAENDER
V656           642      LAND UNTERSTUETZEN AUCH WENN IM UNRECHT
V657           643      ERFOLG VON SPORTLERN MACHT MICH STOLZ
V658           644      WENIGER NATIONALSTOLZ ALS MIR LIEB IST
V659           645      WELT BESSER,WENN DEUTSCHE SELBSTKRITISCH
V660           646      STOLZ AUF: FUNKTIONIEREN DER DEMOKRATIE
V661           647      STOLZ AUF: POLIT. EINFLUSS DEUTSCHLANDS
V662           648      STOLZ AUF: WIRTSCHAFTLICHE ERFOLGE
V663           649      STOLZ AUF: SOZIALSTAATLICHE LEISTUNGEN
V664           650      STOLZ AUF: WISSENSCHAFTLICHE LEISTUNGEN
V665           651      STOLZ AUF: SPORTLICHE ERFOLGE
V666           652      STOLZ AUF: KUNST UND LITERATUR
V667           653      STOLZ AUF: DEUTSCHE STREITKRAEFTE
V668           654      STOLZ AUF: DEUTSCHE GESCHICHTE
V669           655      STOLZ AUF: GERECHTE BEHANDLUNG ALLER
V670           656      WIRTSCH. SCHUETZEN DURCH WENIGER IMPORTE
V671           657      TEILWEISE NAT. SOUVERAENITAET AUFGEBEN
V672           658      IM KONFLIKT DEUTSCHE INTERESSEN VERFOLG.
V673           659      AUSLAENDERN GRUNDERWERB VERBIETEN
V674           660      VORRANG FUER DEUTSCHE PROGRAMME IM TV
V675           661      FREMDE KONZERNE SCHADEN D. WIRTSCHAFT
V676           662      BESSERE PRODUKTE IN BRD DURCH WELTHANDEL
V677           663      AUCH FALSCHEN INTERNAT. BESCHL. FOLGEN
V678           664      INTERNAT. ORG. NEHMEN REG. ZUVIEL MACHT
V679           665      EHER WELTBUERGER ALS BUERG. EINES LANDES
V680           666      KEINE INTEGRATION OHNE ASSIMILATION
V681           667      MINDERHEITENKULTUR STAATL. UNTERSTUETZEN
V682           668      KULTURELLE AUTONOMIE VS. ASSIMILATION
V683           669      ZUWANDERER: ERHOEHEN KRIMINALITAETSRATE
V684           670      ZUWANDERER: GUT FUER DEUTSCHE WIRTSCHAFT
V685           671      ZUWANDERER: NEHMEN ARBEITSPLAETZE WEG
V686           672      ZUWANDERER: KULTURELLE BEREICHERUNG
V687           673      ZUWANDERER: UNTERGRABEN DEUTSCHE KULTUR
V688           674      LEGALE IMMIGRANTEN, RECHTE WIE DEUTSCHE
V689           675      ILLEGALE IMMIGRANTEN,HAERTERE MASSNAHMEN
V690           676      LEGALE IMMIGR., GLEICHE BILDUNGSCHANCEN
V691           677      MEHR ODER WENIGER ZUWANDERUNG?
V692           678      ZUWANDERER: EIGENE KULTUR AUFGEBEN?
V693           679      WIE STOLZ, DEUTSCHE<R> ZU SEIN?
V694           680      PATRIOTISMUS:STAERKT DEUTSCHLAND IN WELT
V695           681      PATRIOTISMUS: FUEHRT ZU INTOLERANZ
V696           682      PATRIOTISMUS:NOETIG F.ZUSAMMENHALT IN D.
V697           683      PATRIOTISMUS: NEGATIV FUER IMMIGRANTEN
V698           684      STAATSANGEHOERIGKEIT ELTERN BEI GEBURT
V699           685      SELBSTIDENTIFIKATION: DEUTSCHER
V700           686      SELBSTIDENTIFIKATION: BOSNIER
V701           687      SELBSTIDENTIFIKATION: GRIECHE
V702           688      SELBSTIDENTIFIKATION: ITALIENER
V703           689      SELBSTIDENTIFIKATION: KROATE
V704           690      SELBSTIDENTIFIKATION: OESTERREICHER
V705           691      SELBSTIDENTIFIKATION: POLE
V706           692      SELBSTIDENTIFIKATION: RUMAENE
V707           693      SELBSTIDENTIFIKATION: RUSSE
V708           694      SELBSTIDENTIFIKATION: SERBE
V709           695      SELBSTIDENTIFIKATION: TUERKE
V710           696      SELBSTIDENTIFIKATION: ANDERE
V711           697      DAUER SCHULISCHE AUSBILDUNG IN JAHREN
V712           698      DAUER SCHULISCHE AUSBILDUNG, KATEG.
V713           699      BEFR.: ERWERBSTAETIGKEIT
V714           700      SELBSTAENDIGE: ANZAHL MITARBEITER
V715           701      SELBSTAENDIGE: ANZAHL MITARBEITER, KAT.
V716           702      BEFR.: FUER MITARBEITER VERANTWORTLICH?
V717           703      FUER WIE VIELE MITARB. VERANTWORTLICH?
V718           704      FUER WIE VIELE MITARB. VERANTW., KATEG.
V719           705      ARBEIT:GEWINNORIENTIERT O. GEMEINNUETZIG
V720           706      ARBEIT:OEFFENTL.DIENST OD. PRIVATUNTERN.
V721           707      BEFRAGTE<R> BERUFSTAETIG? <ISSP>
V722           708      <EHE>PARTNER: ERWERBSTAETIGKEIT
V723           709      <EHE>PARTNER: ARBEITSSTUNDEN <ISSP>
V724           710      <EHE>PARTNER: ARBEITSSTUNDEN <ISSP>, KAT
V725           711      <EHE>PARTNER: F. MITARBEITER VERANTWORT.
V726           712      <EHE>PARTNER: BERUFSTAETIG? <ISSP>
V727           713      OBEN-UNTEN-SKALA: SELBSTEINSTUF., BEFR.
V728           714      WAHLBETEILIGUNG, LETZTE BUNDESTAGSWAHL?
V729           715      ZWEITSTIMME, LETZTE BUNDESTAGSWAHL
V730           716      ATTRAKTIVITAET: SELBSTEINSCHAETZUNG
V731           717      ISSP-TEILNAHME: BUERGER UND STAAT
V732           718      GUTER BUERGER: IMMER WAEHLEN GEHEN
V733           719      GUTER BUERGER: NIE STEUERN HINTERZIEHEN
V734           720      GUTER BUERGER: GESETZE BEFOLGEN
V735           721      GUTER BUERGER: REGIERUNGSPOLIT.VERFOLGEN
V736           722      GUTER BUERGER: IN VEREINIGUNG AKTIV SEIN
V737           723      GUTER BUERGER: ANDERSDENKENDE VERSTEHEN
V738           724      GUTER BUERGER: KRITISCHER KONSUMENT
V739           725      GUTER BUERGER: SCHWACHEN HELFEN, INLAND
V740           726      GUTER BUERGER: SCHWACHEN HELFEN, AUSLAND
V741           727      VERSAMMLUNGSRECHT: RELIGIOESE FANATIKER
V742           728      VERSAMMLUNGSRECHT: UMSTUERZLER
V743           729      VERSAMMLUNGSRECHT: FREMDENFEINDE
V744           730      POL.AKT.: UNTERSCHRIFTENSAMMLUNG
V745           731      POL.AKT.: KRITISCHER KONSUM
V746           732      POL.AKT.: DEMONSTRATION
V747           733      POL.AKT.: POLITISCHE VERSAMMLUNG
V748           734      POL.AKT.: KONTAKT MIT POLITIKER, BEAMTEM
V749           735      POL.AKT.: GELD GESPENDET ODER GESAMMELT
V750           736      POL.AKT.: MEDIENAKTIVITAET
V751           737      POL.AKT.: POLIT. DISKUSSION IM INTERNET
V752           738      WIE OFT MEDIEN F.POLITISCHE INFORMATION?
V753           739      BEFR.: ANZAHL SOZIALER KONTAKTE
V754           740      MITGL.: POLITISCHE PARTEI <ISSP>
V755           741      MITGL.: GEWERKSCHAFT,BERUFSVERBAND<ISSP>
V756           742      MITGL.: KIRCHE, RELIG.GEMEINSCHAFT<ISSP>
V757           743      MITGL.:SPORT,FREIZEIT,KULTURVEREIN<ISSP>
V758           744      MITGL.: ANDERER VEREIN <ISSP>
V759           745      BUERGERRECHTE: SICHERUNG LEBENSSTANDARD
V760           746      BUERGERRECHTE: MINDERHEITENSCHUTZ
V761           747      BUERGERRECHTE:TEILHABE AN ENTSCHEIDUNGEN
V762           748      BUERGERRECHTE: ZIVILER UNGEHORSAM
V763           749      BUERGERRECHTE:DASS REGIER. RECHTE ACHTET
V764           750      BUERGERRECHTE:RECHTSVERLUST BEI STRAFTAT
V765           751      BUERGERRECHTE:WAHLRECHT B. LANG.AUFENTH.
V766           752      BUERGERRECHTE: RECHT NICHT ZU WAEHLEN
V767           753      BUERGERRECHTE:MEDIZIN.VERSORGUNG F. ALLE
V768           754      MENSCHEN WIE ICH HABEN NICHTS ZU SAGEN
V769           755      WAS ICH DENKE, KUEMMERT REGIERUNG NICHT
V770           756      WEISS UEBER POLITIK IN BRD GUT BESCHEID
V771           757      MEHRHEIT IST POLITISCH BESSER INFORMIERT
V772           758      WUERDE GEGEN FALSCHES GESETZ AGIEREN
V773           759      BEACHTUNG FUER AGIEREN GEGEN DAS GESETZ?
V774           760      POLITISCHES INTERESSE <ISSP>
V775           761      LINKS-RECHTS-SELBSTEINSTUFUNG <ISSP>
V776           762      REGIERENDE TUN MEIST DAS RICHTIGE
V777           763      POLITIKER WOLLEN NUR IHREN VORTEIL
V778           764      ANDERE LEUTE: UEBERVORTEILER ODER FAIR?
V779           765      VERTRAUEN ODER VORSICHT BEI KONTAKTEN
V780           766      WIE OFT POLITISCHE DISKUSSIONEN?
V781           767      VERSUCH, ANDERE POLITISCH ZU UEBERZEUGEN
V782           768      PARTEIEN ERMUTIGEN POLITISCHE AKTIVITAET
V783           769      PARTEIEN BIETEN KEINE ALTERNATIVEN
V784           770      VOLKSABSTIMMUNGEN SIND GUTE METHODE
V785           771      BUNDESTAGSWAHL: KORREKT AUSGEZAEHLT?
V786           772      BUNDESTAGSWAHL: WAR WAHLKAMPF FAIR?
V787           773      OEFF.DIENST: DEM BUERGER VERPFLICHTET?
V788           774      OEFF.DIENST: WIEVIELE KORRUPTE MITARB.?
V789           775      WIE GUT FUNKTIONIERT DEMOKRATIE IN BRD?
V790           776      FUNKTIONIERTE DEMOKRATIE VOR 10 JAHREN?
V791           777      WIE GUT FUNKTIONIERT DEMOKRATIE IN 10J.?
V792           778      DAUER SCHULISCHE AUSBILDUNG IN JAHREN
V793           779      DAUER SCHULISCHE AUSBILDUNG, KATEG.
V794           780      BEFR.: ERWERBSTAETIGKEIT
V795           781      SELBSTAENDIGE: ANZAHL MITARBEITER
V796           782      SELBSTAENDIGE: ANZAHL MITARBEITER, KAT.
V797           783      BEFR.: FUER MITARBEITER VERANTWORTLICH?
V798           784      FUER WIE VIELE MITARB. VERANTWORTLICH?
V799           785      FUER WIE VIELE MITARB. VERANTW., KATEG.
V800           786      ARBEIT:GEWINNORIENTIERT O. GEMEINNUETZIG
V801           787      ARBEIT:OEFFENTL.DIENST OD. PRIVATUNTERN.
V802           788      BEFRAGTE<R> BERUFSTAETIG? <ISSP>
V803           789      <EHE>PARTNER: ERWERBSTAETIGKEIT
V804           790      <EHE>PARTNER: ARBEITSSTUNDEN <ISSP>
V805           791      <EHE>PARTNER: ARBEITSSTUNDEN <ISSP>, KAT
V806           792      <EHE>PARTNER: F. MITARBEITER VERANTWORT.
V807           793      <EHE>PARTNER: BERUFSTAETIG? <ISSP>
V808           794      OBEN-UNTEN-SKALA: SELBSTEINSTUF., BEFR.
V809           795      WAHLBETEILIGUNG, LETZTE BUNDESTAGSWAHL?
V810           796      ZWEITSTIMME, LETZTE BUNDESTAGSWAHL
V811           797      SELBSTIDENTIFIKATION: DEUTSCHER
V812           798      SELBSTIDENTIFIKATION: BOSNIER
V813           799      SELBSTIDENTIFIKATION: GRIECHE
V814           800      SELBSTIDENTIFIKATION: ITALIENER
V815           801      SELBSTIDENTIFIKATION: KROATE
V816           802      SELBSTIDENTIFIKATION: OESTERREICHER
V817           803      SELBSTIDENTIFIKATION: POLE
V818           804      SELBSTIDENTIFIKATION: RUMAENE
V819           805      SELBSTIDENTIFIKATION: RUSSE
V820           806      SELBSTIDENTIFIKATION: SERBE
V821           807      SELBSTIDENTIFIKATION: TUERKE
V822           808      SELBSTIDENTIFIKATION: ANDERE
V823           809      ATTRAKTIVITAET: SELBSTEINSCHAETZUNG
V824           810      CASI FRAGE SELBST AUSGEFUELLT? <ISSP>
V825           811      ISSP NICHT SELBST WEIL: ALTER
V826           812      ISSP NICHT SELBST WEIL: GESUNDHEIT
V827           813      ISSP N. SELBST WEIL: PROBLEM AUGEN,LESEN
V828           814      ISSP N. SELBST WEIL: BEDIENUNG COMPUTER
V829           815      ISSP NICHT SELBST WEIL: EINGABESTIFT
V830           816      ISSP NICHT SELBST WEIL: SPRACHKENNTNISSE
V831           817      ISSP NICHT SELBST WEIL: KEINE LUST
V832           818      ISSP NICHT SELBST WEIL: ZEIT
V833           819      ISSP NICHT SELBST WEIL: SONSTIGER GRUND
V834           820      INTERVIEWER<IN>-NUMMER
V835           821      GESCHLECHT, INTERVIEWER<IN>
V836           822      ALTER, INTERVIEWER<IN>
V837           823      ALTER, INTERVIEWER<IN>, KAT.
V838           824      INTERVIEWER: SCHULABSCHLUSS
V839           825      INT.: WIEVIEL JAHRE FUER UMFRAGEINSTITUT
V840           826      INT.: JAHRE FUER UMFRAGEINSTITUT, KAT.
V841           827      ART DES WOHNGEBAEUDES, BEFRAGTER
V842           828      ZUSTAND DES WOHNGEBAEUDES, BEFRAGTER
V843           829      GEGENSPRECHANLAGE?
V844           830      EINSCHAETZUNG WOHNUMGEBUNG VOM BEFR.
V845           831      INTERVIEW: ERREICHBARKEIT DES BEFRAGTEN
V846           832      INTERVIEW: BEREITSCHAFT DES BEFRAGTEN
V847           833      ZAHL DER KONTAKTVERSUCHE, BESUCHE
V848           834      ZAHL DER KONTAKTVERSUCHE, TEL.
V849           835      ATTRAKTIVITAET DES BEFR., INTERVIEWSTART
V850           836      INT.: SCHICHTEINSTUFUNG HAUSHALT, START
V851           837      BERUFLICHE STELLUNG, EINORDNUNG N.TERWEY
V852           838      BERUFL.STELL.,KENNZ.,EINORDNUNG N.TERWEY
V853           839      BERUF; ISCO 1988, EINORDNUNG NACH TERWEY
V854           840      SIOPS I88, EINORDNUNG NACH TERWEY
V855           841      SIOPS I88, EINORDNUNG NACH TERWEY, KAT.
V856           842      ISEI GANZEBOOM I88, EINORDNUNG N. TERWEY
V857           843      ISEI GANZEBOOM I88, EINORD.N.TERWEY,KAT.
V858           844      BERUF; ISCO 2008, EINORDNUNG NACH TERWEY
V859           845      SIOPS I08, EINORDNUNG NACH TERWEY
